Date ,Hours Slept,Perceived Energy Level  ,Workout Type,Duration,Calories Burned,Distance_mi,Pace,Temp_F,Weather Condition,Wind,Notes
1/15/26,9,2,Running,0:36:45,442,3.26,0:11:16,67,Sunny ,No,Could do spearmans correlations 
1/21/26,9.5,2,Running,0:44:46,541,4.00,0:11:12,60,Partly cloudy,No,
1/22/26,9.5,2,Gym,0:46:00,NA,NA,NA,62,Partly cloudy,No ,
1/24/26,9,3,Biking,1:24:22,480,19.22,0:04:23,62,Sunny,Slight,
1/26/26,9,2,Running,0:39:03,473,3.50,0:11:09,66,Sunny,No,
1/28/26,8,2,Running,0:19:31,254,1.88,0:10:23,62,Sunny,No,
1/29/26,8.5,3,Biking ,1:16:38,449,18.73,0:04:05,60,Sunny ,No ,
1/31/26,7.5,2,Surfing,1:00:00,NA,NA,NA,75,Sunny,No,
2/2/26,8.5,3,Running ,0:49:08,591,4.37,0:11:15,68,Sunny,No,
2/4/26,8,2,Running,0:44:05,544,4.03,0:10:56,71,Sunny,No,
2/5/26,9,2,Running,0:20:56,270,2.00,0:10:28,65,Sunny,No,
2/7/26,5.5,1,Tennis,2:00:00,NA,NA,NA,70,Sunny,No,
2/8/26,8.5,2,Running,0:44:41,541,4.01,0:11:09,72,Sunny ,Slight,
2/9/26,8.5,2,Running ,0:20:45,271,2.00,0:10:23,68,Partly cloudy,No,
2/10/26,8.75,2,Running,0:20:52,270,2.00,0:10:26,61,Cloudy ,Yes,
2/11/26,8,2,Running,0:27:13,338,2.50,0:10:53,60,Cloudy ,No,
2/12/26,8,2,Running,1:04:23,815,6.01,0:10:43,60,Sunny,No,
2/16/26,9.5,2,Running,0:30:01,375,2.78,0:10:48,57,Rainy,Yes,
2/17/26,8.75,2,Running ,0:39:41,492,3.65,0:10:52,55,Partly cloudy,No,
2/18/26,7.5,2,Running ,0:20:46,270,2.00,0:10:23,55,Sunny,Yes ,Had a cramp the whole time
2/19/26,8.5,2,Climbing,0:40:00,NA,NA,NA,56,Cloudy,Yes,
2/20/26,8.25,2,Running,0:49:19,626,4.64,0:10:38,55,Sunny,Yes,
2/21/26,8.75,1,Running,0:26:34,329,2.44,0:10:53,58,Sunny,Slightly ,
2/24/26,7.75,1,Running,0:20:46,270,2.00,0:10:23,66,Partly cloudy ,No,
2/25/26,8.5,2,Running,0:21:00,270,2.00,0:10:30,70,Sunny ,No,
2/26/26,7.5,2,Gym,0:49:00,NA,NA,NA,77,Sunny,No,
